,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Pharrell Williams,G I R L,"Happy - From ""Despicable Me 2""",60nZcImufyMA1MKQY3dcCH,0.647,0.822,5,-4.662,0,0.183,0,0.0908,0.962,160.019,232720,4
1,American Authors,"Oh, What A Life",Best Day Of My Life,5Hroj5K7vLpIG4FNCRIjbP,0.673,0.902,2,-2.392,1,0.0346,0.000262,0.0558,0.538,100.012,194240,4
2,Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",6JV2JOEocMgcZxYSZelKcc,0.667,0.83,0,-5.715,1,0.0749,0,0.191,0.701,113.03,236002,4
3,WALK THE MOON,TALKING IS HARD,Shut Up and Dance,4kbj5MwxO1bq9wjT5g9HaA,0.578,0.866,1,-3.804,1,0.0619,0,0.257,0.619,128.038,199080,4
4,Katrina & The Waves,Katrina & The Waves,Walking On Sunshine,05wIrZSwuaVWhcv5FfqeH0,0.596,0.869,10,-11.97,1,0.037,0.173,0.0678,0.944,109.902,238733,4
5,Daryl Hall & John Oates,Voices,You Make My Dreams (Come True),4o6BgsqLIBViaGVbx5rbRk,0.751,0.501,5,-12.151,1,0.0551,0.112,0.0467,0.902,167.057,190627,4
6,Jack Johnson,Jack Johnson And Friends: Sing-A-Longs And Lullabies For The Film Curious George,Upside Down,6shRGWCtBUOPFLFTTqXZIC,0.787,0.655,6,-8.339,0,0.0431,0.000171,0.138,0.65,102.485,208653,4
7,Bruce Cockburn,Dancing In The Dragon's Jaws (Deluxe Edition),Wondering Where The Lions Are,0Nn4H46gZGsc5agUTWcaiY,0.704,0.395,9,-12.31,1,0.0373,0.00039,0.0689,0.765,79.007,227667,4
8,Jackie Wilson,The Ultimate Jackie Wilson,(Your Love Keeps Lifting Me) Higher & Higher,4TBBPZks71c60whhq0PgdP,0.631,0.69,2,-6.676,1,0.0531,0,0.121,0.938,94.574,181067,4
9,Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,1EzrEOXmMH3G43AXT1y7pA,0.686,0.457,11,-8.322,1,0.0468,0,0.105,0.718,150.953,242187,4
10,Jeremy Benjamin,Wonderlove,Joy,4GHHV8DCd5egJ8B0bYyaKp,0.579,0.842,4,-5.942,1,0.067,0.00152,0.358,0.788,128.034,157520,4
11,James Taylor,Greatest Hits,How Sweet It Is (To Be Loved by You),6EuudaFtwibd4tzcWjonb2,0.741,0.612,0,-11.048,1,0.0622,0,0.111,0.812,108.758,215253,4
12,Various Artists,Kiss R&B Digital Downloads,Hey Ya!,2oRQmJitqUIwovf3Ttg4sw,0.714,0.946,0,-4.779,1,0.0557,0.000463,0.187,0.966,79.52,236027,4
13,Train,"Save Me, San Francisco (Golden Gate Edition)","Hey, Soul Sister",4HlFJV71xXKIGcU3kRyttv,0.673,0.886,1,-4.44,0,0.0431,0,0.0826,0.795,97.012,216773,4
14,Barenaked Ladies,Stunt,One Week,1C0pmryC2MdXfa7MZ9uIrU,0.702,0.898,9,-6.003,1,0.0373,0.000154,0.0917,0.731,112.845,169760,4
