,Unnamed: 0,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,label
96,96,Portugal. The Man,Woodstock,Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,0.8009999999999999,0.795,1,-5.115,0,0.0504,0.000113,0.0717,0.754,79.028,163253,4,1
54,54,Sia,Colour The Small One,Breathe Me,7jqzZyJJLrpkRFYGpkqSK6,0.552,0.643,0,-7.36,1,0.0327,0.74,0.105,0.212,120.012,272800,4,0
69,69,Olivia O'Brien,hate u love u,hate u love u,6ATgDc6e4sPn84hvJsAmPt,0.40700000000000003,0.41600000000000004,6,-8.915,0,0.174,0.0,0.0981,0.24600000000000002,176.947,175467,4,0
26,26,Jeremy Benjamin,Wonderlove,Wonderlove,7IqI28al5iZVVfxr64g6nR,0.7240000000000001,0.767,6,-6.9079999999999995,0,0.0555,8.62e-06,0.172,0.74,104.98899999999999,194813,4,1
30,30,Chicago,Chicago V (Expanded & Remastered),Saturday in the Park - 2002 Remaster,4OJFkrRQqol4FsPesF8eu4,0.6679999999999999,0.76,7,-6.831,1,0.034,0.0,0.0803,0.61,114.37799999999999,235667,4,1
30,30,The Weeknd,After Hours,Scared To Live,4BGZF4oLbTL0pWm7C18pbv,0.504,0.498,0,-8.24,1,0.0499,0.0,0.0929,0.196,87.221,191307,4,0
18,18,Passenger,All The Little Lights,Let Her Go,2jyjhRf6DVbMPU5zxagN2h,0.509,0.5379999999999999,7,-7.335,1,0.0572,0.0,0.10400000000000001,0.244,75.089,252867,4,0
82,82,Anson Seabra,Broken,Broken,1SoR3NCP3P9dtdoTnpPNi1,0.551,0.0754,6,-14.203,1,0.059000000000000004,0.0,0.154,0.239,98.348,305676,4,0
11,11,James Taylor,Greatest Hits,How Sweet It Is (To Be Loved by You),6EuudaFtwibd4tzcWjonb2,0.741,0.612,0,-11.048,1,0.0622,0.0,0.111,0.812,108.758,215253,4,1
43,43,OpenSoul,Out of My System,Out of My System,5rOyaiH5TMVAJ2pTKVkUQ6,0.767,0.59,1,-8.317,0,0.14,0.0,0.0866,0.578,95.993,207499,4,0
48,48,K'NAAN,Troubadour (Champion Edition - Asian Version),Wavin' Flag - Coca-Cola® Celebration Mix,4nOygULhEuDO5ZBRNPFaso,0.58,0.767,0,-4.1739999999999995,1,0.0557,0.0,0.0518,0.7759999999999999,151.845,212520,4,1
65,65,FINNEAS,I Lost a Friend,I Lost a Friend,49MMefftWPcltNP4OOJGSs,0.45299999999999996,0.209,11,-11.917,1,0.223,0.0,0.11900000000000001,0.21600000000000003,169.31599999999997,237020,4,0
62,62,Kool & The Gang,Celebration / Morning Star,Celebration - Single Version,6pc8xULSlsMdFB3OrqbvZ4,0.843,0.6559999999999999,1,-11.184000000000001,1,0.0595,0.0187,0.16899999999999998,0.9309999999999999,121.11200000000001,215653,4,1
