acousticness,artists,danceability,energy,explicit,instrumentalness,key,liveness,loudness,name,popularity,release_date,speechiness,tempo,valence,days_from_release,duration_sec
0.00146,['The Weeknd'],0.514,0.73,0,9.54e-05,1,0.0897,-5.934,Blinding Lights,100,2020-03-20,0.0598,171.005,0.33399999999999996,206,200.04
0.247,"['DaBaby', 'Roddy Ricch']",0.746,0.69,1,0.0,11,0.10099999999999999,-7.956,ROCKSTAR (feat. Roddy Ricch),99,2020-04-17,0.16399999999999998,89.977,0.4970000000000001,178,181.733
0.731,"['Powfu', 'beabadoobee']",0.726,0.431,0,0.0,8,0.696,-8.765,death bed (coffee for your head) (feat. beabadoobee),97,2020-02-08,0.135,144.026,0.348,247,173.333
0.233,"['THE SCOTTS', 'Travis Scott', 'Kid Cudi']",0.716,0.537,1,0.0,0,0.157,-7.648,THE SCOTTS,96,2020-04-24,0.0514,129.97899999999998,0.28,171,165.978
0.321,['Drake'],0.8340000000000001,0.45399999999999996,1,6.15e-06,1,0.114,-9.75,Toosie Slide,95,2020-04-03,0.201,81.618,0.8370000000000001,192,247.059
0.7490000000000001,['StaySolidRocky'],0.728,0.431,0,0.0,6,0.0996,-9.966000000000001,Party Girl,94,2020-04-21,0.0622,130.02200000000002,0.629,174,147.8
0.0264,['6ix9ine'],0.611,0.688,1,0.0,1,0.251,-5.688,GOOBA,94,2020-05-08,0.341,178.46200000000005,0.39299999999999996,157,132.303
0.021,"['Lady Gaga', 'Ariana Grande']",0.672,0.855,0,0.0,9,0.32299999999999995,-3.764,Rain On Me (with Ariana Grande),94,2020-05-22,0.0397,123.056,0.6459999999999999,143,182.2
0.223,"['Ariana Grande', 'Justin Bieber']",0.597,0.45,0,0.0,8,0.382,-6.6579999999999995,Stuck with U (with Justin Bieber),94,2020-05-08,0.0418,178.765,0.537,157,228.482
0.017,['Jack Harlow'],0.9229999999999999,0.604,1,0.0,11,0.272,-6.671,WHATS POPPIN,92,2020-03-13,0.245,145.062,0.826,213,139.741
0.207,['Lil Mosey'],0.774,0.5539999999999999,1,0.0,0,0.132,-7.909,Blueberry Faygo,92,2020-02-07,0.0383,99.03399999999999,0.349,248,162.547
