genre,label
pop,0
pop rock,1
rap,2
southern hip hop,3
post-teen pop,4
show tunes,5
pop rap,6
rock,7
classical performance,8
post-grunge,9
new wave pop,10
modern rock,11
country road,12
trap,13
underground hip hop,14
r&b,15
urban contemporary,16
norteno,17
movie tunes,18
quiet storm,19
soul,20
hollywood,21
soft rock,22
latin pop,23
hip hop,24
broadway,25
country rock,26
roots rock,27
classical piano,28
lounge,29
mellow gold,30
opera,31
neo mellow,32
reggaeton,33
background music,34
christian music,35
gospel,36
orchestra,37
sleep,38
indie pop,39
rhythm and blues,40
electro house,41
punk,42
orchestral performance,43
traditional folk,44
rock-and-roll,45
grupera,46
classical soprano,47
disney,48
country,49
indietronica,50
contemporary country,51
motown,52
tropical,53
post-disco,54
reggaeton flow,55
new wave,56
rock en espanol,57
k-pop,58
smooth jazz,59
stomp and holler,60
folk rock,61
indie rock,62
environmental,63
regional mexican pop,64
new americana,65
regional mexican,66
soundtrack,67
hard rock,68
ranchera,69
pop punk,70
bubblegum pop,71
swing,72
otacore,73
europop,74
nu metal,75
texas country,76
tropical house,77
comic,78
tejano,79
indie soul,80
psychedelic rock,81
jazz funk,82
doo-wop,83
lo-fi beats,84
roots reggae,85
ska,86
easy listening,87
southern soul,88
reggae fusion,89
chanson,90
indie r&b,91
disco,92
vintage chanson,93
classic soul,94
focus,95
indie garage rock,96
rock steady,97
rebetiko,98
modern bollywood,99
hardcore hip hop,100
jazz,101
historic orchestral performance,102
merseybeat,103
soul jazz,104
world worship,105
samba,106
hip house,107
progressive bluegrass,108
jazz saxophone,109
country rap,110
reggae,111
funk,112
emo rap,113
permanent wave,114
salsa,115
metal,116
latin christian,117
indian folk,118
chillhop,119
pop edm,120
cali rap,121
salsa international,122
ska punk,123
hard bop,124
rockabilly,125
new age,126
cumbia sonidera,127
electric blues,128
screamo,129
latin,130
modern alternative rock,131
electropop,132
hawaiian,133
vapor trap,134
indie folk,135
social media pop,136
progressive rock,137
neo soul,138
classic country pop,139
filmi,140
dance pop,141
new jack swing,142
classical bass,143
classic soundtrack,144
hip pop,145
chamber orchestra,146
jazz fusion,147
rap rock,148
stride,149
country dawn,150
viral pop,151
vocal jazz,152
classical,153
alternative r&b,154
meme rap,155
lilith,156
corridos tumbados,157
metalcore,158
pub rock,159
west coast rap,160
classical tenor,161
velha guarda,162
new rave,163
pop emo,164
historic piano performance,165
old school hip hop,166
torch song,167
modern country rock,168
bolero,169
skate punk,170
early modern classical,171
escape room,172
indie poptimism,173
classic mandopop,174
uk pop,175
red dirt,176
glam rock,177
australian pop,178
trip hop,179
late romantic era,180
space age pop,181
classic italian pop,182
rumba,183
pop romantico,184
contemporary gospel,185
jawaiian,186
calypso,187
lo-fi,188
jam band,189
electronica,190
post-punk,191
melancholia,192
neo-classical,193
classic bollywood,194
scorecore,195
vintage hollywood,196
classic cantopop,197
merengue,198
deep pop r&b,199
piano rock,200
salsa puertorriquena,201
vapor soul,202
turntablism,203
country pop,204
surf music,205
spanish pop,206
yacht rock,207
chicano rap,208
mexican rock-and-roll,209
jazz trio,210
indian classical,211
big band,212
post-screamo,213
freestyle,214
post-romantic era,215
poetry,216
reggae rock,217
metropopolis,218
american folk revival,219
progressive electro house,220
freakbeat,221
shimmer pop,222
traditional blues,223
comedy,224
post-hardcore,225
edm,226
latin jazz,227
worship,228
outlaw country,229
library music,230
singer-songwriter,231
italian tenor,232
mpb,233
mariachi,234
protopunk,235
atl hip hop,236
vintage italian pop,237
west coast trap,238
mandopop,239
praise,240
calming instrumental,241
old-time,242
traditional country,243
video game music,244
banda,245
redneck,246
classic uk pop,247
mexican pop,248
modern blues,249
underground rap,250
jazz guitar,251
adult standards,252
folk,253
canzone napoletana,254
classical era,255
bossa nova,256
jazz double bass,257
brill building pop,258
classical mezzo-soprano,259
operatic pop,260
indiecoustica,261
sound,262
sufi,263
gaming edm,264
c-pop,265
sleaze rock,266
dancehall,267
nashville sound,268
classic israeli pop,269
vocal harmony group,270
cumbia,271
nyc rap,272
southern rock,273
cowboy western,274
novelty,275
jazz drums,276
classic opm,277
gangster rap,278
rap metal,279
latin hip hop,280
jazz trumpet,281
vintage tango,282
violin,283
bedroom pop,284
classic canadian rock,285
latin rock,286
nu jazz,287
ragtime,288
antiviral pop,289
mexican rock,290
rare groove,291
new orleans jazz,292
tin pan alley,293
classical cello,294
eurodance,295
northern soul,296
la pop,297
irish folk,298
french rock,299
korean pop,300
electro,301
synthpop,302
heartland rock,303
jazz piano,304
g funk,305
italian bass,306
indie pop rap,307
laiko,308
trap latino,309
deep regional mexican,310
new romantic,311
gruperas inmortales,312
meditation,313
house,314
acoustic pop,315
pinoy rock,316
la indie,317
trap soul,318
alternative metal,319
alternative hip hop,320
water,321
american modern classical,322
early music,323
exotica,324
classical baritone,325
modern blues rock,326
vintage italian soundtrack,327
lullaby,328
freak folk,329
pixie,330
power pop,331
electronic trap,332
hyphy,333
neo-psychedelic,334
philly rap,335
free jazz,336
nu gaze,337
j-pop,338
opm,339
historically informed performance,340
industrial rock,341
symphonic rock,342
italian baritone,343
britpop,344
progressive metal,345
florida rap,346
haitian traditional,347
deep adult standards,348
chicago rap,349
album rock,350
deep soft rock,351
british soul,352
uk post-punk,353
classical organ,354
italian pop,355
nyc pop,356
deep underground hip hop,357
slow core,358
classical guitar,359
roots americana,360
vintage chinese pop,361
new jersey rap,362
swedish pop,363
melodic rap,364
native american,365
country gospel,366
celtic,367
duranguense,368
healing,369
jazz quartet,370
future funk,371
new french touch,372
australian rock,373
sertanejo universitario,374
corrido,375
memphis hip hop,376
jazz rap,377
historic classical performance,378
cartoon,379
italian disco,380
classical flute,381
philly soul,382
delta blues,383
melodic metalcore,384
uk dance,385
gothic rock,386
ghazal,387
classical contralto,388
japanese city pop,389
string quartet,390
anthem worship,391
instrumental bluegrass,392
white noise,393
indie cafe pop,394
emo,395
classic rock,396
spanish new wave,397
bronx hip hop,398
soul flow,399
uk82,400
power metal,401
puerto rican pop,402
italian opera,403
vocal house,404
trance,405
progressive house,406
ye ye,407
punk blues,408
hardcore punk,409
british blues,410
lovers rock,411
deep ccm,412
sunshine pop,413
glam metal,414
hi-nrg,415
rabindra sangeet,416
norwegian pop,417
conscious hip hop,418
canadian indie,419
boy band,420
bow pop,421
cabaret,422
vintage jazz,423
folk-pop,424
atl trap,425
compositional ambient,426
k-rap,427
canadian pop,428
philly indie,429
theme,430
industrial metal,431
modern hard rock,432
baroque,433
deep norteno,434
alternative rock,435
fourth world,436
wrestling,437
chamber pop,438
gymcore,439
modern funk,440
oklahoma country,441
vallenato,442
southern soul blues,443
trap queen,444
pagode,445
indie punk,446
old school dancehall,447
operetta,448
british modern classical,449
classic persian pop,450
dirty texas rap,451
early romantic era,452
big beat,453
latin worship,454
neoclassicism,455
spanish classical,456
ninja,457
russian modern classical,458
nueva cancion,459
world,460
korean r&b,461
atmosphere,462
italian mezzo-soprano,463
rosary,464
italian soprano,465
contemporary vocal jazz,466
jazz organ,467
modern southern rock,468
neo-synthpop,469
deep disco,470
gbvfi,471
tecnobanda,472
classic praise,473
impressionism,474
psychedelic blues-rock,475
chicago blues,476
deep christian rock,477
cumbia salvadorena,478
christian rock,479
nwobhm,480
bedroom soul,481
beatlesque,482
merengue tipico,483
uk hip hop,484
polynesian pop,485
opera chorus,486
stoner metal,487
rebel blues,488
bangla,489
taiwan campus folk,490
phonk,491
jazz vibraphone,492
classic arab pop,493
choral,494
neo r&b,495
ska revival,496
bass trap,497
wonky,498
vintage classical singing,499
swedish electropop,500
southern gospel,501
miami bass,502
indie electropop,503
french soundtrack,504
nu disco,505
galante era,506
hardcore techno,507
progressive post-hardcore,508
classic colombian pop,509
jazz trombone,510
ukulele,511
nc hip hop,512
candy pop,513
tango,514
experimental,515
new comedy,516
folk punk,517
perreo,518
roots worship,519
mexican hip hop,520
indie surf,521
salsa colombiana,522
bakersfield sound,523
salsa venezolana,524
mambo,525
diva house,526
experimental rock,527
baton rouge rap,528
deep talent show,529
jump blues,530
soul blues,531
grunge,532
disco house,533
classic swedish pop,534
german literature,535
arkansas country,536
christian relaxative,537
queens hip hop,538
classical clarinet,539
french jazz,540
lds,541
modern reggae,542
harmonica blues,543
tamil pop,544
british folk,545
steel guitar,546
modern folk rock,547
folktronica,548
nu-cumbia,549
vintage schlager,550
underground power pop,551
soca,552
piano blues,553
neo classical metal,554
canadian hip hop,555
miami hip hop,556
post-rock,557
rock drums,558
instrumental funk,559
swing italiano,560
new age piano,561
blues rock,562
vintage spanish pop,563
greek clarinet,564
supergroup,565
